,price,size_in_sqf,number_of_bath,number_of_bed,full_location,location_area,purpose_of_listing,type_of_listing,completion_status
6684,4200000.0,935.0,2,3,"Block D, Section 12, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6685,7277000.0,1323.0,3,3,"Rayer Bazaar, Hazaribag, Dhaka",Hazaribag,For Sale,Apartment,Ready
6686,6000000.0,1350.0,3,3,"South Mollartek, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
6687,3750000.0,887.0,2,2,"Kazibari, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
6688,5500000.0,1575.0,4,4,"Middle Paikpara, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Under Construction
6689,15000000.0,1826.0,3,3,"Sector 10, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6690,6000000.0,900.0,2,2,"Sector 11, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6691,6000000.0,1250.0,3,3,"Madhya Ajampur, Dakshin Khan, Dhaka",Dakshin Khan,For Sale,Apartment,Ready
6692,5300000.0,1050.0,2,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6693,6000000.0,900.0,2,3,"Sector 11, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6694,9000000.0,1160.0,2,3,"Sector 7, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6695,5200000.0,1200.0,3,3,"Kamal Sarani, South Pirerbag, Pirerbag, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6696,8151000.000000001,1254.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6697,8255000.0,1270.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6698,8028000.0,1235.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6699,11700000.0,1565.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6700,11600000.0,1550.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6701,8151000.000000001,1254.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6702,8255000.0,1270.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6703,8028000.0,1235.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6704,11700000.0,1565.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6705,8183000.0,1259.0,3,3,"Nurer Chala, Badda, Dhaka",Badda,For Sale,Apartment,Ready
6706,12000000.0,1500.0,3,3,"Block D, Bashundhara R-A, Dhaka",Bashundhara R-A,For Sale,Apartment,Ready
6707,3000000.0,900.0,2,3,"Khilkhet, Dhaka",Khilkhet,For Sale,Apartment,Ready
